Sorting Method,Input Size,Execution Time
Bubble Sort,1000,5
Bubble Sort,5000,147
Bubble Sort,10000,559
Bubble Sort,20000,2300
Bubble Sort,50000,14210
Bubble Sort,100000,59027
Selection Sort,1000,2
Selection Sort,5000,62
Selection Sort,10000,263
Selection Sort,20000,1168
Selection Sort,50000,5647
Selection Sort,100000,22967
Insertion Sort,1000,1
Insertion Sort,5000,34
Insertion Sort,10000,156
Insertion Sort,20000,599
Insertion Sort,50000,3597
Insertion Sort,100000,13676
Shell Sort,1000,0
Shell Sort,5000,1
Shell Sort,10000,3
Shell Sort,20000,6
Shell Sort,50000,22
Shell Sort,100000,43
Merge Sort,1000,0
Merge Sort,5000,2
Merge Sort,10000,5
Merge Sort,20000,10
Merge Sort,50000,29
Merge Sort,100000,54
Quick Sort,1000,1
Quick Sort,5000,1
Quick Sort,10000,2
Quick Sort,20000,3
Quick Sort,50000,11
Quick Sort,100000,22
