Sorting Method,Input Size,Execution Time
Bubble Sort,1000,29
Bubble Sort,5000,712
Bubble Sort,10000,2827
Bubble Sort,15000,6387
Bubble Sort,20000,11328
Bubble Sort,30000,25337
Bubble Sort,40000,45182
Selection Sort,1000,14
Selection Sort,5000,322
Selection Sort,10000,1248
Selection Sort,15000,2831
Selection Sort,20000,5025
Selection Sort,30000,11356
Selection Sort,40000,20190
Insertion Sort,1000,16
Insertion Sort,5000,395
Insertion Sort,10000,1570
Insertion Sort,15000,3520
Insertion Sort,20000,6333
Insertion Sort,30000,14264
Insertion Sort,40000,25384
Shell Sort,1000,1
Shell Sort,5000,9
Shell Sort,10000,22
Shell Sort,15000,35
Shell Sort,20000,59
Shell Sort,30000,79
Shell Sort,40000,132
Merge Sort,1000,2
Merge Sort,5000,12
Merge Sort,10000,25
Merge Sort,15000,43
Merge Sort,20000,54
Merge Sort,30000,84
Merge Sort,40000,125
Quick Sort,1000,1
Quick Sort,5000,4
Quick Sort,10000,8
Quick Sort,15000,15
Quick Sort,20000,24
Quick Sort,30000,29
Quick Sort,40000,45
