Sorting Method,Input Size,Execution Time
Bubble Sort,5000,139
Bubble Sort,10000,551
Bubble Sort,15000,1252
Bubble Sort,20000,2236
Bubble Sort,25000,3495
Bubble Sort,30000,5051
Bubble Sort,35000,6864
Bubble Sort,40000,8937
Bubble Sort,45000,11327
Bubble Sort,50000,13989
Bubble Sort,55000,16936
Bubble Sort,60000,20104
Bubble Sort,65000,23612
Bubble Sort,70000,27421
Bubble Sort,75000,31459
Bubble Sort,80000,35724
Bubble Sort,85000,40261
Bubble Sort,90000,45193
Bubble Sort,95000,50222
Bubble Sort,100000,55668
Selection Sort,5000,49
Selection Sort,10000,185
Selection Sort,15000,417
Selection Sort,20000,740
Selection Sort,25000,1142
Selection Sort,30000,1655
Selection Sort,35000,2252
Selection Sort,40000,2945
Selection Sort,45000,3715
Selection Sort,50000,4602
Selection Sort,55000,5565
Selection Sort,60000,6633
Selection Sort,65000,7756
Selection Sort,70000,8963
Selection Sort,75000,10286
Selection Sort,80000,11709
Selection Sort,85000,13238
Selection Sort,90000,14809
Selection Sort,95000,16511
Selection Sort,100000,18273
Insertion Sort,5000,34
Insertion Sort,10000,132
Insertion Sort,15000,300
Insertion Sort,20000,536
Insertion Sort,25000,847
Insertion Sort,30000,1212
Insertion Sort,35000,1658
Insertion Sort,40000,2198
Insertion Sort,45000,2740
Insertion Sort,50000,3382
Insertion Sort,55000,4106
Insertion Sort,60000,4879
Insertion Sort,65000,5894
Insertion Sort,70000,6616
Insertion Sort,75000,7588
Insertion Sort,80000,8624
Insertion Sort,85000,9739
Insertion Sort,90000,10894
Insertion Sort,95000,12148
Insertion Sort,100000,13460
Shell Sort,5000,0
Shell Sort,10000,2
Shell Sort,15000,4
Shell Sort,20000,6
Shell Sort,25000,8
Shell Sort,30000,9
Shell Sort,35000,11
Shell Sort,40000,13
Shell Sort,45000,15
Shell Sort,50000,18
Shell Sort,55000,19
Shell Sort,60000,21
Shell Sort,65000,23
Shell Sort,70000,26
Shell Sort,75000,27
Shell Sort,80000,31
Shell Sort,85000,35
Shell Sort,90000,35
Shell Sort,95000,39
Shell Sort,100000,40
Merge Sort,5000,2
Merge Sort,10000,4
Merge Sort,15000,7
Merge Sort,20000,9
Merge Sort,25000,13
Merge Sort,30000,18
Merge Sort,35000,18
Merge Sort,40000,21
Merge Sort,45000,23
Merge Sort,50000,26
Merge Sort,55000,29
Merge Sort,60000,32
Merge Sort,65000,34
Merge Sort,70000,37
Merge Sort,75000,39
Merge Sort,80000,42
Merge Sort,85000,45
Merge Sort,90000,48
Merge Sort,95000,51
Merge Sort,100000,54
Quick Sort,5000,0
Quick Sort,10000,1
Quick Sort,15000,1
Quick Sort,20000,3
Quick Sort,25000,3
Quick Sort,30000,5
Quick Sort,35000,5
Quick Sort,40000,7
Quick Sort,45000,8
Quick Sort,50000,9
Quick Sort,55000,10
Quick Sort,60000,10
Quick Sort,65000,11
Quick Sort,70000,12
Quick Sort,75000,14
Quick Sort,80000,14
Quick Sort,85000,15
Quick Sort,90000,16
Quick Sort,95000,17
Quick Sort,100000,18
