Sorting Method,Input Size,Execution Time
Bubble Sort,2000,111
Bubble Sort,4000,446
Bubble Sort,6000,1171
Bubble Sort,8000,2693
Bubble Sort,10000,2964
Bubble Sort,12000,4207
Bubble Sort,14000,5946
Bubble Sort,16000,8249
Bubble Sort,18000,9531
Bubble Sort,20000,12073
Bubble Sort,22000,14115
Bubble Sort,24000,16858
Bubble Sort,26000,18768
Bubble Sort,28000,21735
Bubble Sort,30000,25295
Bubble Sort,32000,28803
Bubble Sort,34000,32039
Bubble Sort,36000,35952
Bubble Sort,38000,40425
Bubble Sort,40000,45870
Selection Sort,2000,51
Selection Sort,4000,202
Selection Sort,6000,451
Selection Sort,8000,789
Selection Sort,10000,1236
Selection Sort,12000,1778
Selection Sort,14000,2429
Selection Sort,16000,3152
Selection Sort,18000,4003
Selection Sort,20000,4957
Selection Sort,22000,5952
Selection Sort,24000,7120
Selection Sort,26000,8340
Selection Sort,28000,9613
Selection Sort,30000,11140
Selection Sort,32000,12646
Selection Sort,34000,14259
Selection Sort,36000,15848
Selection Sort,38000,17659
Selection Sort,40000,19576
Insertion Sort,2000,69
Insertion Sort,4000,279
Insertion Sort,6000,637
Insertion Sort,8000,1102
Insertion Sort,10000,1700
Insertion Sort,12000,2478
Insertion Sort,14000,3339
Insertion Sort,16000,4387
Insertion Sort,18000,5600
Insertion Sort,20000,6941
Insertion Sort,22000,8274
Insertion Sort,24000,9791
Insertion Sort,26000,11618
Insertion Sort,28000,13425
Insertion Sort,30000,15367
Insertion Sort,32000,17204
Insertion Sort,34000,18541
Insertion Sort,36000,20687
Insertion Sort,38000,23071
Insertion Sort,40000,25582
Shell Sort,2000,3
Shell Sort,4000,7
Shell Sort,6000,12
Shell Sort,8000,17
Shell Sort,10000,22
Shell Sort,12000,27
Shell Sort,14000,35
Shell Sort,16000,40
Shell Sort,18000,45
Shell Sort,20000,52
Shell Sort,22000,57
Shell Sort,24000,64
Shell Sort,26000,66
Shell Sort,28000,77
Shell Sort,30000,78
Shell Sort,32000,96
Shell Sort,34000,99
Shell Sort,36000,102
Shell Sort,38000,112
Shell Sort,40000,122
Merge Sort,2000,4
Merge Sort,4000,10
Merge Sort,6000,13
Merge Sort,8000,19
Merge Sort,10000,24
Merge Sort,12000,31
Merge Sort,14000,36
Merge Sort,16000,41
Merge Sort,18000,46
Merge Sort,20000,51
Merge Sort,22000,58
Merge Sort,24000,63
Merge Sort,26000,73
Merge Sort,28000,76
Merge Sort,30000,82
Merge Sort,32000,87
Merge Sort,34000,93
Merge Sort,36000,99
Merge Sort,38000,105
Merge Sort,40000,112
Quick Sort,2000,0
Quick Sort,4000,3
Quick Sort,6000,4
Quick Sort,8000,6
Quick Sort,10000,7
Quick Sort,12000,10
Quick Sort,14000,12
Quick Sort,16000,14
Quick Sort,18000,16
Quick Sort,20000,17
Quick Sort,22000,20
Quick Sort,24000,21
Quick Sort,26000,23
Quick Sort,28000,26
Quick Sort,30000,27
Quick Sort,32000,29
Quick Sort,34000,31
Quick Sort,36000,34
Quick Sort,38000,36
Quick Sort,40000,39
